Row Labels,account_create,account_update,account_witness_proxy,account_witness_vote,claim_reward_balance,comment,comment_options,delete_comment,follow,post,resmoked,transfer,transfer_to_vesting,vote,withdraw_vesting,witness_update,Grand Total
25/03/2019,7,5,,4,169,99,,1,42,244,10,14,4,1015,1,,1615
26/03/2019,11,9,,10,146,66,,,49,190,27,14,4,923,1,5,1455
27/03/2019,8,13,,8,147,80,,4,65,207,30,9,5,960,4,,1540
28/03/2019,7,4,,13,148,69,,1,88,232,14,8,4,1031,4,,1623
29/03/2019,3,3,,32,140,59,,,44,178,26,4,3,850,3,1,1346
30/03/2019,5,14,,29,134,88,,2,66,202,43,8,5,1048,,,1644
31/03/2019,8,1,,24,131,77,,1,86,216,34,15,3,991,5,,1592
01/04/2019,7,7,,1,133,79,,,39,193,26,5,1,886,3,1,1381
02/04/2019,6,19,,60,177,83,,2,80,253,22,15,7,1189,7,2,1922
03/04/2019,7,5,,54,133,60,,2,51,180,18,11,1,899,5,,1426
04/04/2019,8,3,,4,119,84,,,79,202,27,12,5,1008,1,,1552
05/04/2019,6,3,,5,121,65,,,57,225,34,8,2,1089,2,,1617
06/04/2019,15,2,,5,182,67,,2,112,334,41,15,7,1209,4,,1995
07/04/2019,8,,,27,125,80,,2,69,293,38,23,10,1267,11,2,1955
08/04/2019,13,11,,34,129,80,,1,120,256,26,3,,956,2,,1631
09/04/2019,8,2,,16,183,71,,1,54,180,28,6,5,1053,2,,1609
10/04/2019,9,6,,18,139,77,,2,66,254,27,7,25,977,5,,1612
11/04/2019,2,2,,12,182,105,,1,51,227,25,8,2,1013,1,,1631
12/04/2019,6,1,,30,137,69,,2,41,199,30,15,3,1053,1,,1587
13/04/2019,2,7,,20,120,61,,1,48,277,31,12,9,1125,4,,1717
14/04/2019,6,8,,14,147,60,,1,61,189,28,9,6,1210,3,4,1746
15/04/2019,5,4,,24,126,96,,1,65,186,18,10,3,887,,3,1428
16/04/2019,5,5,,6,174,85,,,61,190,17,4,4,1005,6,,1562
17/04/2019,11,11,,7,131,62,,1,49,200,32,5,1,1078,5,,1593
18/04/2019,9,7,,14,121,92,,4,42,254,33,4,2,1104,1,,1687
19/04/2019,1,4,,14,116,71,,3,61,205,13,2,1,1227,4,2,1724
20/04/2019,22,4,,5,125,86,,,93,274,29,13,4,1300,2,,1957
